Pinus,Pinus haploxylon,Picea,Abies,Quercus,Carya,Ulmus,Celtis,Myrica,Juglans,Ericaceae,Fraxinus,Alnus,Salix,Nymphaea,Typha latifolia,Typha domingensis,Labiatae,Cyperaceae,Poaceae,Asteraceae,Senecio,Solidago,Centaurea,Cirsium,Ambrosia,Artemisia,Cichoriodeae,Apiaceae,Malva,Vicia,Fabaceae,Plantago,Ephedra,Chenopodiaceae,Euphorbiaceae,Dasylirion,Opuntia,Acacia,Mimosa,Yucca,Agave,Indeterminate
25,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,38,1,0,1,0,4,0,1,0,0,0,0,0,2,66,0,0,0,0,0,2,0,0
10,14,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,3,71,35,2,1,3,0,7,2,11,0,0,0,0,0,15,9,0,0,0,0,0,0,0,3
3,25,0,0,18,0,0,0,0,0,0,0,1,13,0,0,0,0,15,26,28,0,0,0,0,0,3,15,0,2,0,0,0,33,16,0,1,1,0,1,0,1,2
1,25,0,0,30,0,0,0,0,0,0,0,2,8,0,0,0,0,24,22,23,0,0,0,0,0,1,1,0,0,0,0,0,37,12,0,0,0,0,0,0,0,0
15,22,0,0,18,0,0,1,0,0,0,0,0,2,0,1,1,0,10,12,31,0,0,0,0,0,11,12,0,0,0,0,0,16,44,15,0,0,6,0,0,0,1
8,25,0,0,4,0,0,0,0,0,0,0,0,4,0,2,0,0,15,28,29,0,0,0,0,0,12,8,0,0,0,0,0,34,20,0,0,1,1,0,0,0,0
31,10,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,0,7,11,49,0,0,0,0,0,25,19,0,0,0,0,0,38,6,1,0,1,1,0,0,0,1
19,2,0,0,9,0,0,3,0,0,0,0,0,2,0,0,0,0,10,4,23,0,0,0,0,0,18,19,0,0,0,0,0,41,3,0,0,1,2,0,0,0,0
12,2,0,0,15,0,0,6,0,0,0,0,0,6,0,1,0,0,25,62,16,0,0,0,1,0,11,1,0,0,0,0,1,25,9,0,0,0,1,0,0,0,2
2,0,0,0,11,0,4,4,1,0,0,0,0,3,0,0,1,0,16,6,7,0,0,0,0,0,41,2,1,0,0,0,0,103,29,0,0,0,0,1,0,0,0
47,6,0,0,14,0,1,0,0,0,0,0,0,0,0,1,4,0,41,79,44,6,0,0,1,3,87,19,0,0,0,0,0,21,75,0,0,0,0,0,0,3,0
49,8,0,0,36,0,0,0,0,0,0,0,0,0,1,0,12,0,10,52,82,6,3,0,0,0,12,7,2,0,0,0,0,9,40,0,0,0,0,0,0,0,0
30,5,0,0,15,0,0,0,1,0,0,0,1,0,1,0,1,0,13,45,32,1,2,0,1,3,7,1,2,0,0,0,0,10,39,0,0,0,0,0,0,0,0
95,1,0,0,19,0,0,2,1,0,0,0,0,3,0,4,9,0,2,32,70,0,0,0,2,0,21,1,0,0,0,0,0,30,17,0,0,0,0,0,0,0,0
190,12,0,0,12,0,1,0,0,0,0,0,0,9,3,3,48,1,18,44,67,1,0,1,1,0,7,43,0,1,0,0,0,33,16,0,0,0,0,0,0,0,0
121,2,0,0,38,4,0,1,0,0,0,0,0,0,1,2,23,0,8,53,65,0,0,0,0,3,9,0,0,3,0,0,0,53,9,1,0,0,0,0,0,0,0
121,11,0,0,34,4,0,0,0,0,0,0,0,0,1,5,10,0,9,17,78,39,1,0,0,4,22,7,1,0,0,0,0,69,26,0,0,0,0,0,0,0,0
59,2,0,0,18,6,0,1,0,0,0,0,0,0,14,1,7,0,4,53,80,61,0,0,3,36,1,0,0,0,0,0,0,21,34,1,0,0,0,1,0,0,0
12,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,4,0,2,36,51,66,3,4,3,22,3,1,0,0,0,0,0,31,76,0,0,0,0,0,0,0,0
63,4,0,0,31,0,1,0,0,0,0,0,1,0,9,0,25,0,20,30,37,18,2,0,3,13,38,1,2,1,0,0,0,69,62,0,0,0,0,0,2,0,5
28,4,0,0,21,1,0,0,0,0,1,0,1,2,7,0,1,0,8,32,105,29,2,0,1,28,21,0,0,0,0,0,0,29,261,0,0,0,0,0,0,0,0
56,12,0,0,17,1,1,0,0,1,0,2,0,0,0,0,15,0,6,60,37,20,0,3,0,5,8,0,1,0,0,0,0,46,42,0,0,0,0,0,0,0,2
97,7,0,0,34,0,0,0,0,0,1,1,0,2,7,23,7,0,3,46,52,3,0,0,0,1,1,0,1,0,0,0,0,237,60,0,0,1,0,0,0,0,0
111,8,0,0,41,2,1,1,0,0,0,1,0,2,5,0,19,0,11,23,38,4,2,3,0,2,2,0,1,0,0,0,0,61,30,0,4,0,0,0,0,0,0
41,9,0,0,38,3,2,3,0,0,1,0,2,1,6,0,3,0,57,35,16,4,0,0,2,2,2,0,12,0,0,1,0,10,10,0,0,0,0,0,0,0,0
39,7,0,0,76,2,0,0,0,0,0,2,0,2,2,0,2,1,18,23,34,5,0,0,0,1,13,0,4,1,0,0,0,34,9,0,0,0,0,0,0,0,0
74,9,0,0,86,0,0,0,0,0,1,14,0,0,2,0,0,0,38,25,17,0,0,0,0,0,1,2,28,0,0,0,0,9,7,0,0,0,0,0,0,0,0
38,2,0,0,61,0,1,0,0,0,0,5,0,1,1,0,0,0,26,37,25,4,0,2,0,1,5,0,5,0,0,0,0,10,11,0,0,0,0,0,0,0,0
108,6,0,0,71,1,6,0,1,0,0,0,0,0,12,0,3,0,19,64,96,4,3,0,0,0,78,0,4,0,0,0,0,2,22,0,0,0,1,0,0,0,0
90,5,0,0,50,7,1,0,0,0,2,3,0,1,2,0,0,0,10,19,28,2,2,2,2,1,0,0,0,0,0,0,0,1,14,0,0,3,6,0,0,0,3
77,5,0,2,19,2,0,0,0,0,0,0,0,1,0,0,0,0,6,20,26,0,0,1,1,0,0,1,2,0,1,0,0,29,7,0,0,1,0,1,0,0,5
112,15,0,0,29,0,0,4,0,0,0,0,0,3,0,0,0,0,4,49,33,3,0,0,0,0,2,0,0,0,0,0,0,5,7,0,0,2,2,0,0,0,5
65,9,0,0,23,0,0,0,1,0,0,1,2,4,0,0,0,0,4,15,17,0,0,0,0,1,1,0,0,0,0,0,0,24,20,0,0,2,0,0,0,0,10
62,14,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,12,5,0,0,0,0,9,1,1,0,0,0,0,5,14,0,0,0,0,1,0,0,6
109,6,0,0,48,2,0,0,0,0,0,0,0,0,0,0,4,0,6,23,23,3,0,0,0,0,0,0,0,1,0,0,0,22,8,0,0,0,1,0,0,0,0
91,15,0,0,10,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,16,0,0,0,0,0,0,1,0,0,0,0,0,3,6,0,0,0,2,0,0,0,0
80,6,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,38,36,0,0,0,0,0,6,0,0,0,0,0,0,100,46,0,0,0,0,0,0,0,5
46,19,0,0,14,0,0,0,10,0,0,0,1,0,0,0,3,0,15,49,12,0,0,0,0,1,0,0,0,0,0,0,0,20,13,0,0,0,1,0,0,0,0
104,1,1,0,40,3,4,0,0,0,0,0,1,3,0,4,40,0,6,16,17,2,0,0,2,2,2,2,1,0,0,0,0,23,16,0,0,0,1,0,0,0,5
56,8,0,0,10,1,0,0,0,0,2,0,1,0,0,0,8,0,14,44,13,0,0,0,0,0,0,2,13,0,0,0,0,30,12,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,101,0,0,0,0,1,18,5,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0
